context_id,arc,theme,summary,quest_usage,related_resources,related_recipes,related_quest_types,llm_prompt_hint,source_section
scenario_crash_survival,초반,추락과 생존,N-13에 추락한 개척팀장이 탈출 포드 잔해와 최소 장비로 생존 기지를 세운다.,초반 생존형 일일 퀘스트와 긴급 깜짝 퀘스트의 배경으로 사용한다.,resource_iron_ore; resource_water,recipe_smelt_iron,daily; surprise,임시 기지와 생존 압박을 연결해 오늘 해야 할 생산 목표의 이유를 설명한다.,Project.md 3장; 7.1장
scenario_escape_pod_salvage,초반,탈출 포드 잔해 회수,탈출 포드 잔해에서 쓸 수 있는 금속과 전자 부품을 회수해 첫 생산 라인의 기반을 만든다.,철판과 구리선 같은 초반 부품 확보 퀘스트의 시나리오 근거로 사용한다.,resource_iron_plate; resource_copper_wire; resource_circuit_board,recipe_roll_iron_plate; recipe_draw_copper_wire; recipe_make_circuit_board,daily; surprise,잔해 복구와 기초 부품 제작을 연결해 플레이어가 왜 이 자원을 모아야 하는지 설명한다.,Project.md 7.1장
scenario_basic_power_grid,초반,기초 전력망 구축,간이 발전기와 저효율 전력망으로 채굴기와 제련기를 먼저 안정화해야 한다.,전력 부족이나 설비 가동 준비와 관련된 생산 퀘스트의 배경으로 사용한다.,resource_iron_ingot; resource_copper_ingot,recipe_smelt_iron; recipe_smelt_copper,daily; weekly,전력망이 불안정하면 생산 설비가 멈춘다는 점을 짧게 설명한다.,Project.md 6.2장; 7.1장
scenario_first_magnetic_storm,초반,첫 자기장 폭풍,N-13의 자기장 폭풍은 전력 효율을 낮추고 생산 속도와 통신을 불안정하게 만든다.,폭풍 대응형 깜짝 퀘스트와 병목 해결 퀘스트의 배경으로 사용한다.,resource_copper_wire; resource_battery_electrolyte,recipe_draw_copper_wire; recipe_make_battery_electrolyte,surprise,폭풍 때문에 예비 재료나 안정화 부품을 급히 준비해야 하는 이유를 설명한다.,Project.md 6.6장; 7.1장
scenario_signal_tower_build,초반,신호탑 건설,흩어진 생존 팀원을 모으려면 장거리 신호를 보낼 수 있는 신호탑을 건설해야 한다.,회로기판과 전선류를 요구하는 메인 퀘스트 연계 일일 퀘스트에 사용한다.,resource_circuit_board; resource_copper_wire; resource_reinforced_glass,recipe_make_circuit_board; recipe_temper_reinforced_glass,daily; weekly,신호탑 건설이 팀원 구조와 다음 연구 해금으로 이어진다는 점을 설명한다.,Project.md 3장; 7.1장
scenario_survivor_engineer,중반,엔지니어 합류,엔지니어는 대규모 전력망과 자동화 설비 효율 개선을 열어주는 핵심 팀원이다.,전력망 확장과 설비 개선형 주간 퀘스트의 배경으로 사용한다.,resource_hull_frame; resource_engine_frame; resource_circuit_board,recipe_assemble_hull_frame; recipe_assemble_engine_frame; recipe_make_circuit_board,weekly,엔지니어 구출 또는 합류가 공장 확장 능력으로 이어지는 이유를 설명한다.,Project.md 6.5장; 7.2장
scenario_survivor_biologist,중반,생물학자 합류,생물학자는 산소와 식량 생산 및 환경 복원 연구를 담당한다.,생명유지 모듈과 환경 안정화 관련 퀘스트의 배경으로 사용한다.,resource_oxygen; resource_water; resource_life_support_module,recipe_split_water; recipe_assemble_life_support_module,daily; weekly,생존 기반을 넓히기 위해 산소와 물 순환을 안정화해야 한다는 점을 설명한다.,Project.md 6.4장; 6.5장
scenario_survivor_mineralogist,중반,광물학자 합류,광물학자는 희귀 광물 정제와 지하 광물층 분석을 통해 고급 소재 생산을 열어준다.,티타늄과 합금 생산 퀘스트의 시나리오 근거로 사용한다.,resource_titanium_ore; resource_titanium_ingot; resource_titanium_alloy,recipe_smelt_titanium; recipe_forge_titanium_alloy,daily; weekly,희귀 광물 분석이 우주선 구조재 제작으로 이어지는 흐름을 설명한다.,Project.md 6.5장; 7.3장
scenario_survivor_ai_expert,중반,AI 전문가 합류,AI 전문가는 물류 드론과 고급 자동화 및 공장 관리 보조 시스템을 열어준다.,회로기판과 항법 컴퓨터 제작 퀘스트의 배경으로 사용한다.,resource_circuit_board; resource_navigation_computer,recipe_make_circuit_board; recipe_assemble_navigation_computer,weekly,공장 자동화와 항법 계산을 위해 정밀 전자 부품이 필요하다는 점을 설명한다.,Project.md 6.5장
scenario_industrial_base,중반,산업 거점 확장,기지는 생존 캠프에서 자동화 생산과 대규모 물류를 갖춘 산업 거점으로 성장한다.,여러 생산 라인을 묶는 주간 퀘스트와 메인 퀘스트 진행 설명에 사용한다.,resource_lightweight_alloy_plate; resource_outer_panel; resource_hull_frame,recipe_forge_lightweight_alloy_plate; recipe_assemble_outer_panel; recipe_assemble_hull_frame,weekly,작은 생산품이 모듈과 외장 구조로 확장되는 성취감을 설명한다.,Project.md 3장; 7.2장
scenario_trade_pressure,중반,무역상과 외부 세력,중반 이후 무역상과 민간 세력이 등장하며 생산 효율과 개척지 안정 사이의 선택이 생긴다.,납품형 주간 퀘스트와 선택 압박이 있는 깜짝 퀘스트에 사용한다.,resource_fuel_cell; resource_circuit_board; resource_lightweight_alloy_plate,recipe_make_fuel_cell; recipe_make_circuit_board; recipe_forge_lightweight_alloy_plate,weekly; surprise,외부 요청을 처리하면 보상을 얻지만 핵심 제작 일정이 밀릴 수 있다는 긴장감을 설명한다.,Project.md 3장; 7.2장
scenario_environment_stability,중반,환경 안정화,많이 생산하는 공장과 오래 유지되는 개척지 사이의 균형이 장기 목표가 된다.,과잉 생산 완화와 안정화 설비 준비 퀘스트의 배경으로 사용한다.,resource_oxygen; resource_cryogenic_coolant; resource_battery_electrolyte,recipe_split_water; recipe_charge_cryogenic_coolant; recipe_make_battery_electrolyte,daily; weekly; surprise,생산량만 늘리는 대신 안정적인 개척지를 유지해야 하는 이유를 설명한다.,Project.md 4장; 6.4장
scenario_magnetic_origin,후반,폭풍 원인 규명,자기장 폭풍은 지하 희귀 광물층과 헤르메스 자기장의 공명 때문에 발생한다.,희귀 소재와 분석 장비를 요구하는 후반 메인 퀘스트 설명에 사용한다.,resource_titanium_alloy; resource_circuit_board; resource_navigation_computer,recipe_forge_titanium_alloy; recipe_make_circuit_board; recipe_assemble_navigation_computer,weekly,폭풍의 원인을 밝히기 위해 고급 합금과 정밀 계산 장치가 필요하다는 점을 설명한다.,Project.md 3장; 7.3장
scenario_intermoon_resource,후반,다른 위성 개척 준비,후반에는 다른 위성에서 특수 자원과 기술을 확보해 N-13의 한계를 넘는다.,우주선 모듈 제작과 장거리 개척 준비 퀘스트의 배경으로 사용한다.,resource_propulsion_core; resource_fuel_cell; resource_ion_propellant,recipe_assemble_propulsion_core; recipe_make_fuel_cell; recipe_charge_ion_propellant,weekly,행성 간 이동을 위해 추진 계통과 연료 계통을 단계적으로 완성해야 한다고 설명한다.,Project.md 7.3장; 7.4장
scenario_signal_amplifier,후반,초대형 신호 증폭기,여러 위성의 자원과 기술로 초대형 신호 증폭기를 건설해 지구와 통신을 복구한다.,항법 컴퓨터와 전력 안정화 부품을 요구하는 후반 퀘스트의 배경으로 사용한다.,resource_navigation_computer; resource_fuel_cell; resource_circuit_board,recipe_assemble_navigation_computer; recipe_make_fuel_cell; recipe_make_circuit_board,weekly,지구와 통신하려면 폭풍이 약해지는 순간에 맞춰 정밀 부품과 전력을 준비해야 한다고 설명한다.,Project.md 3장; 7.3장
