자원ID,자원명,종류,획득방법,생산장비,사용처,사용레시피,관련자원,원본이름,형태,물질계열,자원타입,이미지에셋
resource_iron_ore,철광석,원재료,고체 자원 지점에서 채굴한다.,채굴기(equipment_miner_machine),철괴 제작의 입력 자원,철괴 제작 공정(recipe_smelt_iron),철괴(resource_iron_ingot); 철판(resource_iron_plate),iron_ore,고체,iron,금속 광석,/Game/Assets/UIImg/Resource/iron_ore.iron_ore
resource_copper_ore,구리광석,원재료,고체 자원 지점에서 채굴한다.,채굴기(equipment_miner_machine),구리괴 제작의 입력 자원,구리괴 제작 공정(recipe_smelt_copper),구리괴(resource_copper_ingot); 구리선(resource_copper_wire),copper_ore,고체,copper,금속 광석,
resource_aluminum_ore,알루미늄광석,원재료,고체 자원 지점에서 채굴한다.,채굴기(equipment_miner_machine),알루미늄괴 제작의 입력 자원,알루미늄괴 제작 공정(recipe_smelt_aluminum),알루미늄괴(resource_aluminum_ingot); 경량 합금판(resource_lightweight_alloy_plate),aluminum_ore,고체,aluminum,금속 광석,
resource_titanium_ore,티타늄광석,원재료,고체 자원 지점에서 채굴한다.,채굴기(equipment_miner_machine),티타늄괴 제작의 입력 자원,티타늄괴 제작 공정(recipe_smelt_titanium),티타늄괴(resource_titanium_ingot); 티타늄 합금(resource_titanium_alloy),titanium_ore,고체,titanium,금속 광석,
resource_sand,모래,원재료,고체 자원 지점에서 채집한다.,채굴기(equipment_miner_machine),유리 제작의 입력 자원,유리 제작 공정(recipe_make_glass),유리(resource_glass); 강화 유리(resource_reinforced_glass),sand,고체,sand,비금속 분말,
resource_coal,석탄,원재료,고체 자원 지점에서 채굴한다.,채굴기(equipment_miner_machine),탄소재와 발전 연료 제작의 입력 자원,탄소재 제작 공정(recipe_make_carbon_composite),탄소 복합재(resource_carbon_composite),coal,고체,coal,연료 광석,
resource_sulfur_ore,황광석,원재료,고체 자원 지점에서 채굴한다.,채굴기(equipment_miner_machine),전해질 제작의 입력 자원,황 분말 제작 공정(recipe_crush_sulfur),황 분말(resource_sulfur_powder); 배터리 전해질(resource_battery_electrolyte),sulfur_ore,고체,sulfur,비금속 광석,
resource_water,물,원재료,액체 자원 지점에서 펌프로 채취한다.,펌프(equipment_pump),수소와 산소 분리의 입력 자원,전기분해 공정(recipe_split_water),수소(resource_hydrogen); 산소(resource_oxygen),water,액체,water,액체,
resource_helium,헬륨,원재료,기체 자원 지점에서 압축기로 채취한다.,압축기(equipment_air_compressor),냉각제 제작의 입력 자원,극저온 냉각제 충전 공정(recipe_charge_cryogenic_coolant),극저온 냉각제(resource_cryogenic_coolant),helium,기체,helium,기체,
resource_iron_ingot,철괴,가공 자원,철광석을 제련해 생산한다.,제련기(equipment_smelter),철판 제작의 입력 자원,철판 압연 공정(recipe_roll_iron_plate),철광석(resource_iron_ore); 철판(resource_iron_plate),iron_ingot,고체,iron,금속 주괴,/Game/Assets/UIImg/Resource/iron_ingot.iron_ingot
