장비ID,장비명,분류,역할,입력자원,출력자원,필요전력,연결가능장비,관련레시피,자주발생문제,원본장비타입,레벨목록,설치비용자원,레벨별설치비용수량,레벨별내구도,레벨별전력,입력포트수,입력버퍼수,출력포트수,출력버퍼수,가로크기,세로크기,이미지에셋
equipment_air_compressor,압축기,생산,기체 자원을 채취하거나 압축해 공급하는 장비,없음,헬륨(resource_helium); 수소(resource_hydrogen); 질소(resource_nitrogen); 산소(resource_oxygen),10,파이프(equipment_pipe),,전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 물류 방식 불일치(issue_wrong_transport_type); 저장 방식 불일치(issue_wrong_storage_type); 장비 내구도 저하(issue_machine_damaged),압축기(AirCompressor),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:10;Lv2:10;Lv3:10,1.0,1.0,1.0,1.0,3.0,3.0,
equipment_conveyor,컨베이어,물류,고체 자원을 장비와 저장소 사이로 운반하는 물류 장비,고체 자원 전체,고체 자원 전체,0,채굴기(equipment_miner_machine); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage),,컨베이어 막힘(issue_conveyor_blocked); 물류 방식 불일치(issue_wrong_transport_type),컨베이어(Conveyor),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:0;Lv2:0;Lv3:0,0.0,0.0,0.0,0.0,1.0,1.0,/Game/Assets/UIImg/Machine/Conveyor.Conveyor
equipment_grinder,분쇄기,생산,고체 자원을 분쇄해 분말 또는 톱밥으로 변환하는 생산 장비,알루미늄괴(resource_aluminum_ingot); 숯(resource_charcoal); 석탄(resource_coal); 구리괴(resource_copper_ingot); 금괴(resource_gold_ingot); 철괴(resource_iron_ingot); 납괴(resource_lead_ingot); 마그네슘괴(resource_magnesium_ingot); 니켈괴(resource_nickel_ingot); 은괴(resource_silver_ingot); 황광석(resource_sulfur_ore); 주석괴(resource_tin_ingot); 티타늄괴(resource_titanium_ingot); 텅스텐괴(resource_tungsten_ingot); 목재(resource_wood); 아연괴(resource_zinc_ingot),알루미늄 분말(resource_aluminum_powder); 숯가루(resource_charcoal_dust); 석탄가루(resource_coal_dust); 구리 분말(resource_copper_powder); 금 분말(resource_gold_powder); 철 분말(resource_iron_powder); 납 분말(resource_lead_powder); 마그네슘 분말(resource_magnesium_powder); 니켈 분말(resource_nickel_powder); 톱밥(resource_sawdust); 은 분말(resource_silver_powder); 황 분말(resource_sulfur_powder); 주석 분말(resource_tin_powder); 티타늄 분말(resource_titanium_powder); 텅스텐 분말(resource_tungsten_powder); 아연 분말(resource_zinc_powder),10,컨베이어(equipment_conveyor),알루미늄 분말 제작 공정(recipe_crush_aluminum); 숯가루 제작 공정(recipe_crush_charcoal); 석탄가루 제작 공정(recipe_crush_coal); 구리 분말 제작 공정(recipe_crush_copper); 금 분말 제작 공정(recipe_crush_gold); 철 분말 제작 공정(recipe_crush_iron); 납 분말 제작 공정(recipe_crush_lead); 마그네슘 분말 제작 공정(recipe_crush_magnesium); 니켈 분말 제작 공정(recipe_crush_nickel); 은 분말 제작 공정(recipe_crush_silver); 황 분말 제작 공정(recipe_crush_sulfur); 주석 분말 제작 공정(recipe_crush_tin); 티타늄 분말 제작 공정(recipe_crush_titanium); 텅스텐 분말 제작 공정(recipe_crush_tungsten); 아연 분말 제작 공정(recipe_crush_zinc); 톱밥 제작 공정(recipe_make_sawdust),전력 부족(issue_no_power); 입력 자원 부족(issue_no_input); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),분쇄기(Grinder),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:10;Lv2:10;Lv3:10,1.0,1.0,1.0,1.0,3.0,3.0,
equipment_magnetic_shield,자기 보호막,방어,공장 또는 장비를 보호하는 방어/보호 장비,전력(resource_power),없음,100,전력 노드(equipment_power_grid_node),,전력 부족(issue_no_power); 설치 비용 부족(issue_build_cost_shortage); 장비 내구도 저하(issue_machine_damaged),자기 보호막(MagneticShield),1;2;3,철괴(resource_iron_ingot),Lv1:100;Lv2:100;Lv3:100,Lv1:10000;Lv2:10000;Lv3:10000,Lv1:100;Lv2:100;Lv3:100,0.0,0.0,0.0,0.0,3.0,3.0,/Game/Assets/UIImg/Machine/MagneticShield.MagneticShield
equipment_miner_machine,채굴기,생산,고체 원재료를 채굴하는 생산 장비,없음,알루미늄광석(resource_aluminum_ore); 석탄(resource_coal); 구리광석(resource_copper_ore); 금광석(resource_gold_ore); 철광석(resource_iron_ore); 납광석(resource_lead_ore); 마그네슘광석(resource_magnesium_ore); 니켈광석(resource_nickel_ore); 모래(resource_sand); 은광석(resource_silver_ore); 황광석(resource_sulfur_ore); 주석광석(resource_tin_ore); 티타늄광석(resource_titanium_ore); 텅스텐광석(resource_tungsten_ore); 우라늄(resource_uranium); 목재(resource_wood); 아연광석(resource_zinc_ore),10,컨베이어(equipment_conveyor),,전력 부족(issue_no_power); 입력 자원 부족(issue_no_input); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),채굴기(MinerMachine),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:10;Lv2:10;Lv3:10,1.0,1.0,1.0,1.0,3.0,3.0,
equipment_power_grid_node,전력 노드,전력,발전소에서 생산된 전력을 장비로 전달하는 전력망 장비,전력(resource_power),전력(resource_power),40,발전소(equipment_power_plant); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 자기 보호막(equipment_magnetic_shield),,전력망 연결 끊김(issue_power_network_disconnected); 설치 비용 부족(issue_build_cost_shortage); 장비 내구도 저하(issue_machine_damaged),전력 노드(PowerGridNode),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:40;Lv2:40;Lv3:40,0.0,0.0,0.0,0.0,1.0,1.0,/Game/Assets/UIImg/Machine/PowerGridNode.PowerGridNode
equipment_power_plant,발전소,전력,연료를 사용해 전력을 생산하는 전력 장비,목재(resource_wood); 석탄(resource_coal); 숯(resource_charcoal); 석유(resource_petrolium); 우라늄(resource_uranium),전력(resource_power),30,전력 노드(equipment_power_grid_node),,연료 부족(issue_no_fuel); 전력망 연결 끊김(issue_power_network_disconnected); 설치 비용 부족(issue_build_cost_shortage); 장비 내구도 저하(issue_machine_damaged),발전소(PowerPlant),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:30;Lv2:30;Lv3:30,0.0,0.0,0.0,0.0,3.0,3.0,/Game/Assets/UIImg/Machine/PowerPlant.PowerPlant
equipment_pump,펌프,생산,액체 자원을 채취하거나 액체 라인으로 공급하는 장비,없음,산(resource_acid); 수은(resource_mercury); 석유(resource_petrolium); 폐수(resource_waste_water); 물(resource_water),10,파이프(equipment_pipe),,전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 물류 방식 불일치(issue_wrong_transport_type); 저장 방식 불일치(issue_wrong_storage_type); 장비 내구도 저하(issue_machine_damaged),펌프(Pump),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:10;Lv2:10;Lv3:10,1.0,1.0,1.0,1.0,3.0,3.0,
equipment_smelter,제련기,생산,"광석이나 원재료를 가공해 주괴, 숯, 유리 같은 자원으로 변환하는 생산 장비",알루미늄광석(resource_aluminum_ore); 구리광석(resource_copper_ore); 금광석(resource_gold_ore); 철광석(resource_iron_ore); 납광석(resource_lead_ore); 마그네슘광석(resource_magnesium_ore); 니켈광석(resource_nickel_ore); 모래(resource_sand); 은광석(resource_silver_ore); 주석광석(resource_tin_ore); 티타늄광석(resource_titanium_ore); 텅스텐광석(resource_tungsten_ore); 목재(resource_wood); 아연광석(resource_zinc_ore),알루미늄괴(resource_aluminum_ingot); 숯(resource_charcoal); 구리괴(resource_copper_ingot); 유리(resource_glass); 금괴(resource_gold_ingot); 철괴(resource_iron_ingot); 납괴(resource_lead_ingot); 마그네슘괴(resource_magnesium_ingot); 니켈괴(resource_nickel_ingot); 은괴(resource_silver_ingot); 주석괴(resource_tin_ingot); 티타늄괴(resource_titanium_ingot); 텅스텐괴(resource_tungsten_ingot); 아연괴(resource_zinc_ingot),10,컨베이어(equipment_conveyor),숯 제작 공정(recipe_make_charcoal); 유리 제작 공정(recipe_make_glass); 알루미늄괴 제작 공정(recipe_smelt_aluminum); 구리괴 제작 공정(recipe_smelt_copper); 금괴 제작 공정(recipe_smelt_gold); 철괴 제작 공정(recipe_smelt_iron); 납괴 제작 공정(recipe_smelt_lead); 마그네슘괴 제작 공정(recipe_smelt_magnesium); 니켈괴 제작 공정(recipe_smelt_nickel); 은괴 제작 공정(recipe_smelt_silver); 주석괴 제작 공정(recipe_smelt_tin); 티타늄괴 제작 공정(recipe_smelt_titanium); 텅스텐괴 제작 공정(recipe_smelt_tungsten); 아연괴 제작 공정(recipe_smelt_zinc),전력 부족(issue_no_power); 입력 자원 부족(issue_no_input); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),제련기(Smelter),1;2;3,철괴(resource_iron_ingot),Lv1:10;Lv2:10;Lv3:10,Lv1:1000;Lv2:1000;Lv3:1000,Lv1:10;Lv2:10;Lv3:10,1.0,1.0,1.0,1.0,3.0,3.0,
equipment_pipe,파이프,물류,액체나 기체 자원을 장비와 탱크 사이로 운반하는 물류 장비,액체 자원 전체; 기체 자원 전체,액체 자원 전체; 기체 자원 전체,0,펌프(equipment_pump); 압축기(equipment_air_compressor); 탱크(equipment_storage_tank),,파이프 막힘(issue_pipe_blocked); 물류 방식 불일치(issue_wrong_transport_type),virtual,,,,,,,,,,,,
equipment_storage,저장고,저장,고체 자원을 임시 저장하는 장비,고체 자원 전체,고체 자원 전체,0,컨베이어(equipment_conveyor),,출력 공간 부족(issue_output_full); 저장 방식 불일치(issue_wrong_storage_type),virtual,,,,,,,,,,,,
