"레시피ID","레시피명","입력자원","출력자원","필요장비","공정단계","진행티어","권장레벨범위","퀘스트난이도","일일목표수량","주간목표수량","깜짝목표수량","보상룰ID목록","퀘스트생성태그","LLM설명힌트","선행레시피","생산순서","자주발생문제","원본레시피명","원본장비타입","제작시간"
"recipe_smelt_iron","철괴 제작 공정","철광석(resource_iron_ore):2","철괴(resource_iron_ingot):1","제련기(equipment_smelter)","제련","T1","1-5","쉬움","6","24","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","생산; recipe_based; main_quest_material","철괴(resource_iron_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","철광석 투입 > 제련기 가공 > 철괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Iron","제련기(Smelter)","3.0"
"recipe_crush_iron","철 분말 제작 공정","철괴(resource_iron_ingot):1","철 분말(resource_iron_powder):2","분쇄기(equipment_grinder)","분쇄","T1","1-5","쉬움","5","20","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","가공; recipe_based; main_quest_material","철 분말(resource_iron_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","철괴 제작 공정(recipe_smelt_iron)","철괴 투입 > 분쇄기 가공 > 철 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Iron","분쇄기(Grinder)","1.5"
"recipe_smelt_copper","구리괴 제작 공정","구리광석(resource_copper_ore):2","구리괴(resource_copper_ingot):1","제련기(equipment_smelter)","제련","T1","1-5","쉬움","6","24","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","생산; recipe_based; main_quest_material","구리괴(resource_copper_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","구리광석 투입 > 제련기 가공 > 구리괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Copper","제련기(Smelter)","3.0"
"recipe_crush_copper","구리 분말 제작 공정","구리괴(resource_copper_ingot):1","구리 분말(resource_copper_powder):2","분쇄기(equipment_grinder)","분쇄","T1","1-5","쉬움","5","20","3","reward_daily_t1; reward_weekly_t1; reward_surprise_t1","가공; recipe_based; main_quest_material","구리 분말(resource_copper_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","구리괴 제작 공정(recipe_smelt_copper)","구리괴 투입 > 분쇄기 가공 > 구리 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Copper","분쇄기(Grinder)","1.5"
"recipe_smelt_zinc","아연괴 제작 공정","아연광석(resource_zinc_ore):2","아연괴(resource_zinc_ingot):1","제련기(equipment_smelter)","제련","T2","6-10","보통","5","20","3","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","생산; recipe_based; main_quest_material","아연괴(resource_zinc_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","아연광석 투입 > 제련기 가공 > 아연괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Zinc","제련기(Smelter)","3.0"
"recipe_crush_zinc","아연 분말 제작 공정","아연괴(resource_zinc_ingot):1","아연 분말(resource_zinc_powder):2","분쇄기(equipment_grinder)","분쇄","T2","6-10","보통","4","16","2","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","가공; recipe_based; main_quest_material","아연 분말(resource_zinc_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","아연괴 제작 공정(recipe_smelt_zinc)","아연괴 투입 > 분쇄기 가공 > 아연 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Zinc","분쇄기(Grinder)","1.5"
"recipe_smelt_lead","납괴 제작 공정","납광석(resource_lead_ore):2","납괴(resource_lead_ingot):1","제련기(equipment_smelter)","제련","T2","6-10","보통","5","20","3","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","생산; recipe_based; main_quest_material","납괴(resource_lead_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","납광석 투입 > 제련기 가공 > 납괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Lead","제련기(Smelter)","3.0"
"recipe_crush_lead","납 분말 제작 공정","납괴(resource_lead_ingot):1","납 분말(resource_lead_powder):2","분쇄기(equipment_grinder)","분쇄","T2","6-10","보통","4","16","2","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","가공; recipe_based; main_quest_material","납 분말(resource_lead_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","납괴 제작 공정(recipe_smelt_lead)","납괴 투입 > 분쇄기 가공 > 납 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Lead","분쇄기(Grinder)","1.5"
"recipe_smelt_tin","주석괴 제작 공정","주석광석(resource_tin_ore):2","주석괴(resource_tin_ingot):1","제련기(equipment_smelter)","제련","T2","6-10","보통","5","20","3","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","생산; recipe_based; main_quest_material","주석괴(resource_tin_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","주석광석 투입 > 제련기 가공 > 주석괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Tin","제련기(Smelter)","3.0"
"recipe_crush_tin","주석 분말 제작 공정","주석괴(resource_tin_ingot):1","주석 분말(resource_tin_powder):2","분쇄기(equipment_grinder)","분쇄","T2","6-10","보통","4","16","2","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","가공; recipe_based; main_quest_material","주석 분말(resource_tin_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","주석괴 제작 공정(recipe_smelt_tin)","주석괴 투입 > 분쇄기 가공 > 주석 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Tin","분쇄기(Grinder)","1.5"
"recipe_smelt_aluminum","알루미늄괴 제작 공정","알루미늄광석(resource_aluminum_ore):2","알루미늄괴(resource_aluminum_ingot):1","제련기(equipment_smelter)","제련","T3","11-15","어려움","4","16","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","생산; recipe_based; main_quest_material","알루미늄괴(resource_aluminum_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","알루미늄광석 투입 > 제련기 가공 > 알루미늄괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Aluminum","제련기(Smelter)","3.0"
"recipe_crush_aluminum","알루미늄 분말 제작 공정","알루미늄괴(resource_aluminum_ingot):1","알루미늄 분말(resource_aluminum_powder):2","분쇄기(equipment_grinder)","분쇄","T3","11-15","어려움","3","12","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","가공; recipe_based; main_quest_material","알루미늄 분말(resource_aluminum_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","알루미늄괴 제작 공정(recipe_smelt_aluminum)","알루미늄괴 투입 > 분쇄기 가공 > 알루미늄 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Aluminum","분쇄기(Grinder)","1.5"
"recipe_smelt_nickel","니켈괴 제작 공정","니켈광석(resource_nickel_ore):2","니켈괴(resource_nickel_ingot):1","제련기(equipment_smelter)","제련","T3","11-15","어려움","4","16","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","생산; recipe_based; main_quest_material","니켈괴(resource_nickel_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","니켈광석 투입 > 제련기 가공 > 니켈괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Nickel","제련기(Smelter)","3.0"
"recipe_crush_nickel","니켈 분말 제작 공정","니켈괴(resource_nickel_ingot):1","니켈 분말(resource_nickel_powder):2","분쇄기(equipment_grinder)","분쇄","T3","11-15","어려움","3","12","2","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","가공; recipe_based; main_quest_material","니켈 분말(resource_nickel_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","니켈괴 제작 공정(recipe_smelt_nickel)","니켈괴 투입 > 분쇄기 가공 > 니켈 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Nickel","분쇄기(Grinder)","1.5"
"recipe_smelt_tungsten","텅스텐괴 제작 공정","텅스텐광석(resource_tungsten_ore):2","텅스텐괴(resource_tungsten_ingot):1","제련기(equipment_smelter)","제련","T4","16-20","고급","3","12","2","reward_daily_t4; reward_weekly_t4; reward_surprise_t4","생산; recipe_based; main_quest_material","텅스텐괴(resource_tungsten_ingot):1 확보가 필요한 메인 퀘스트와 연결해 제련기(equipment_smelter) 공정을 설명한다.","","텅스텐광석 투입 > 제련기 가공 > 텅스텐괴 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Smelt_Tungsten","제련기(Smelter)","3.0"
"recipe_crush_tungsten","텅스텐 분말 제작 공정","텅스텐괴(resource_tungsten_ingot):1","텅스텐 분말(resource_tungsten_powder):2","분쇄기(equipment_grinder)","분쇄","T4","16-20","고급","2","8","1","reward_daily_t4; reward_weekly_t4; reward_surprise_t4","가공; recipe_based; main_quest_material","텅스텐 분말(resource_tungsten_powder):2 확보가 필요한 메인 퀘스트와 연결해 분쇄기(equipment_grinder) 공정을 설명한다.","텅스텐괴 제작 공정(recipe_smelt_tungsten)","텅스텐괴 투입 > 분쇄기 가공 > 텅스텐 분말 출력","입력 자원 부족(issue_no_input); 전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","Crush_Tungsten","분쇄기(Grinder)","1.5"
